"Unidade da Federação;2019"
"11 Rondônia;1841142"
"12 Acre;854691"
"13 Amazonas;4182899"
"14 Roraima;538963"
"15 Pará;8544639"
"16 Amapá;828028"
"17 Tocantins;1583391"
"21 Maranhão;7083578"
"22 Piauí;3229651"
"23 Ceará;9128090"
"24 Rio Grande do Norte;3568644"
"25 Paraíba;4074755"
"26 Pernambuco;9593588"
"27 Alagoas;3405893"
"28 Sergipe;2331323"
"29 Bahia;15467527"
"31 Minas Gerais;21346492"
"32 Espírito Santo;4098852"
"33 Rio de Janeiro;16874306"
"35 São Paulo;45752757"
"41 Paraná;11468818"
"42 Santa Catarina;7179056"
"43 Rio Grande do Sul;11388156"
"50 Mato Grosso do Sul;2772343"
"51 Mato Grosso;3419350"
"52 Goiás;6939629"
"53 Distrito Federal;3162452"
