Imuno;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020; Total
BCG;110,55;111,18;132;131,59;128,76;110,7;111,03;108,99;108,87;109,14;106,3;104,46;101,67;104,3;102,51;101,55;103,72;104,01;103,65;103,46;102,2;94,33;100,95;101,28;83,78;58,01;105,56
Hepatite B  em crianças até 30 dias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91,83;92,51;89,81;91,78;90,29;77,52;46,11;72,86
Rotavírus Humano;0;0;0;0;0;0;0;0;0;0;0;56,19;86,54;86,87;89,57;89,24;93,95;91,56;97,51;93,85;97;90,32;90,79;92,58;87,17;71,08;64,96
Meningococo C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,79;122,05;98,72;102,17;97,36;98,62;90,42;89,74;88,89;87,88;71,38;75,28
Hepatite B;0;0;0;2,79;112,32;97,24;96;93,82;98,29;95,86;97,17;97,07;96,1;95,05;97,76;95,63;99,28;97,44;104,37;99,58;100,68;110,04;87,71;91,73;72,14;78,49;81,03
Penta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,96;97,23;95,46;98,36;88,48;87,18;91,57;72,1;78,49;81,61
Pneumocócica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;86,63;89,55;95,81;100,63;99,93;93,58;95,85;95,95;89,81;73,44;87,78
Poliomielite;97;101,36;106,69;114,7;112,18;102,35;103,34;95,89;98,31;98,19;96,74;99,93;98,67;96,6;99,1;96,6;100,3;96,44;98,95;95,73;99,68;83,84;87,71;92,55;86,62;70,23;97,4
Poliomielite 4 anos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74,03;75,63;82,67;69,97;75,7
Febre Amarela;0;0;0;5,25;11,98;8,55;7,36;8,7;10,08;10,17;10,5;11,5;11,82;13,43;17,18;19,21;20,45;20,45;20,45;19,56;19,7;18,63;24,09;60,18;72,3;59,7;18,18
Hepatite A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67,84;102,42;63,43;76,13;83,59;86,26;69,45;68,62
Pneumocócica(1º ref);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,22;91,5;92,71;86,84;74,66;81,7;82,85;65,89;84,23
Meningococo C (1º ref);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100,95;94,83;94,42;80,76;77,61;80,98;86,34;71,44;86,04
Poliomielite(1º ref);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97,18;88,91;90,27;77,72;77,45;76,45;78,83;63,8;81,5
Tríplice Viral  D1;0;0;0;0;0;105,38;105,13;105,13;119,88;104,3;102,04;101,19;100,23;96,68;99,13;94,91;100,34;99,54;103,37;105,02;97,91;92,96;86,72;91,46;91,8;75,57;105,04
Tríplice Viral  D2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75,71;95,89;92,43;77,73;83,4;81,84;82,5;57,42;81,12
Tetra Viral(SRC+VZ);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,63;98,07;94,64;80,97;20,98;37,16;26,81;2,17;50,91
DTP;99,83;96,03;98,02;119,79;110,42;100,35;101,77;33,08;0,73;99,67;97,95;98,58;97,53;95,12;97,2;95,8;98,65;94,72;100,16;96,84;99,76;88,94;0;0;0;0;91,9
DTP REF (4 e 6 anos);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9;0;2,38;67,35;75,6;64,46;79,39;37,98
Tríplice Bacteriana(DTP)(1º ref);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92,97;89,23;91,84;59,59;74,12;75,54;58,48;76,82;77,28
Sarampo;97,71;95,2;134,43;124,72;115,24;108,05;107,04;100,37;3,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,54
Haemophilus influenzae b;0;0;0;1,03;1,37;115,43;101,43;33,01;2,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29,24
Dupla adulto e tríplice acelular gestante;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47,48;42,8;59,91;24,23;28,56;39,52;40,27;14,66;37,32
dTpa gestante;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,41;12,38;61,09;26,42;35,85;52,37;54,77;32,5;34,81
Tetravalente (DTP/Hib) (TETRA);0;0;0;0;0;0;0;64,74;98,77;99,21;97,42;98,15;96,98;94,54;96,62;95,27;97,99;70,76;99,16;98,59;96,25;5,02;0;0;0;0;71,87
Ignorado;0;0;100,58;108,85;100,88;77,03;78,15;78,25;80,6;74,3;69,39;68,77;66,93;66,23;68,39;68,81;75,75;72,69;56,22;161,98;192,49;11,84;0;0;0;0;71,24
Total;45,01;44,86;74,7;79,73;92,11;76,19;76,51;73,3;71,29;76,36;72,45;71,61;70,92;70,3;72,49;70,36;84,96;77,28;73,37;88,2;98,63;45,94;73,03;78,8;74,5;61,27;73,11
